start,peak,end,peak_counts,background,snr,duration_s,instrument
2026-06-02 09:42:33+00:00,2026-06-02 09:42:57+00:00,2026-06-02 09:43:17+00:00,185.0,0.0,185.0,44.0,HEL1OS
2026-06-02 09:50:01+00:00,2026-06-02 09:50:48+00:00,2026-06-02 09:51:53+00:00,315.0,0.0,315.0,112.0,HEL1OS
2026-06-02 09:58:38+00:00,2026-06-02 10:00:25+00:00,2026-06-02 10:16:22+00:00,340.0,0.0,340.0,1064.0,HEL1OS
2026-06-02 10:17:57+00:00,2026-06-02 10:18:42+00:00,2026-06-02 10:19:19+00:00,180.0,0.0,180.0,82.0,HEL1OS
2026-06-02 10:21:44+00:00,2026-06-02 10:22:22+00:00,2026-06-02 10:25:33+00:00,249.0,0.0,249.0,229.0,HEL1OS
2026-06-02 10:28:03+00:00,2026-06-02 10:28:25+00:00,2026-06-02 10:28:30+00:00,173.0,0.0,173.0,27.0,HEL1OS
2026-06-02 10:31:07+00:00,2026-06-02 10:31:34+00:00,2026-06-02 10:31:59+00:00,278.0,0.0,278.0,52.0,HEL1OS
2026-06-02 10:33:55+00:00,2026-06-02 10:34:24+00:00,2026-06-02 10:37:45+00:00,324.0,0.0,324.0,230.0,HEL1OS
2026-06-02 10:39:21+00:00,2026-06-02 10:39:23+00:00,2026-06-02 10:40:33+00:00,260.0,0.0,260.0,72.0,HEL1OS
2026-06-02 10:47:00+00:00,2026-06-02 10:47:15+00:00,2026-06-02 10:47:21+00:00,194.0,0.0,194.0,21.0,HEL1OS
2026-06-02 10:59:52+00:00,2026-06-02 11:02:50+00:00,2026-06-02 11:03:18+00:00,203.0,0.0,203.0,206.0,HEL1OS
2026-06-02 11:31:07+00:00,2026-06-02 11:31:37+00:00,2026-06-02 11:31:53+00:00,266.0,0.0,266.0,46.0,HEL1OS
2026-06-02 11:51:51+00:00,2026-06-02 11:51:58+00:00,2026-06-02 11:52:50+00:00,267.0,0.0,267.0,59.0,HEL1OS
2026-06-02 11:55:18+00:00,2026-06-02 11:56:03+00:00,2026-06-02 11:56:48+00:00,248.0,0.0,248.0,90.0,HEL1OS
2026-06-02 11:59:30+00:00,2026-06-02 11:59:30+00:00,2026-06-02 11:59:52+00:00,213.0,0.0,213.0,22.0,HEL1OS
2026-06-02 12:30:31+00:00,2026-06-02 12:32:55+00:00,2026-06-02 12:33:40+00:00,260.0,0.0,260.0,189.0,HEL1OS
2026-06-02 12:41:46+00:00,2026-06-02 12:42:37+00:00,2026-06-02 12:42:37+00:00,275.0,0.0,275.0,51.0,HEL1OS
2026-06-02 12:44:29+00:00,2026-06-02 12:45:37+00:00,2026-06-02 12:46:07+00:00,233.0,0.0,233.0,98.0,HEL1OS
2026-06-02 12:50:59+00:00,2026-06-02 12:51:13+00:00,2026-06-02 12:51:29+00:00,198.0,0.0,198.0,30.0,HEL1OS
2026-06-02 13:09:55+00:00,2026-06-02 13:11:49+00:00,2026-06-02 13:12:44+00:00,252.0,0.0,252.0,169.0,HEL1OS
2026-06-02 13:38:54+00:00,2026-06-02 13:38:56+00:00,2026-06-02 13:39:50+00:00,286.0,0.0,286.0,56.0,HEL1OS
2026-06-02 13:43:29+00:00,2026-06-02 13:44:08+00:00,2026-06-02 13:44:32+00:00,219.0,0.0,219.0,63.0,HEL1OS
2026-06-02 13:46:32+00:00,2026-06-02 13:46:53+00:00,2026-06-02 13:48:17+00:00,252.0,0.0,252.0,105.0,HEL1OS
2026-06-02 13:50:40+00:00,2026-06-02 13:52:09+00:00,2026-06-02 13:52:09+00:00,301.0,0.0,301.0,89.0,HEL1OS
2026-06-02 13:55:25+00:00,2026-06-02 13:55:33+00:00,2026-06-02 13:56:04+00:00,237.0,0.0,237.0,39.0,HEL1OS
2026-06-02 14:05:42+00:00,2026-06-02 14:06:14+00:00,2026-06-02 14:07:13+00:00,270.0,0.0,270.0,91.0,HEL1OS
2026-06-02 14:31:31+00:00,2026-06-02 14:31:33+00:00,2026-06-02 14:32:30+00:00,305.0,0.0,305.0,59.0,HEL1OS
2026-06-02 14:41:25+00:00,2026-06-02 14:43:05+00:00,2026-06-02 14:43:19+00:00,280.0,0.0,280.0,114.0,HEL1OS
2026-06-02 14:56:19+00:00,2026-06-02 14:57:02+00:00,2026-06-02 14:57:55+00:00,246.0,0.0,246.0,96.0,HEL1OS
2026-06-02 15:05:58+00:00,2026-06-02 15:06:44+00:00,2026-06-02 15:07:14+00:00,232.0,0.0,232.0,76.0,HEL1OS
2026-06-02 15:15:54+00:00,2026-06-02 15:16:07+00:00,2026-06-02 15:16:07+00:00,287.0,0.0,287.0,13.0,HEL1OS
2026-06-02 15:18:54+00:00,2026-06-02 15:19:02+00:00,2026-06-02 15:19:39+00:00,322.0,0.0,322.0,45.0,HEL1OS
2026-06-02 15:27:14+00:00,2026-06-02 15:28:08+00:00,2026-06-02 15:30:46+00:00,294.0,0.0,294.0,212.0,HEL1OS
