start_utc,peak_utc,end_utc,duration_s,sxr_peak_counts,sxr_peak_flux_wm2,goes_class,goes_class_num,hxr_detected,hxr_peak_counts,snr_sxr,snr_hxr,source
2026-06-16 18:59:44+00:00,2026-06-16 19:00:06+00:00,2026-06-16 19:00:06+00:00,22.0,,,?,0,True,214.0,,214.0,HXR_only
2026-06-16 19:14:05+00:00,2026-06-16 19:14:07+00:00,2026-06-16 19:15:17+00:00,72.0,,,?,0,True,268.0,,268.0,HXR_only
2026-06-16 19:23:29+00:00,2026-06-16 19:24:00+00:00,2026-06-16 19:24:31+00:00,62.0,,,?,0,True,233.0,,233.0,HXR_only
2026-06-16 19:26:28+00:00,2026-06-16 19:27:13+00:00,2026-06-16 19:27:19+00:00,51.0,,,?,0,True,329.0,,329.0,HXR_only
2026-06-16 19:29:39+00:00,2026-06-16 19:29:55+00:00,2026-06-16 19:30:19+00:00,40.0,,,?,0,True,206.0,,206.0,HXR_only
2026-06-16 19:39:16+00:00,2026-06-16 19:40:34+00:00,2026-06-16 19:40:47+00:00,91.0,,,?,0,True,326.0,,326.0,HXR_only
2026-06-16 19:47:46+00:00,2026-06-16 19:47:55+00:00,2026-06-16 19:49:21+00:00,95.0,,,?,0,True,311.0,,311.0,HXR_only
2026-06-16 19:55:44+00:00,2026-06-16 19:55:59+00:00,2026-06-16 19:56:15+00:00,31.0,,,?,0,True,198.0,,198.0,HXR_only
2026-06-16 20:00:18+00:00,2026-06-16 20:02:14+00:00,2026-06-16 20:06:44+00:00,386.0,,,?,0,True,286.0,,286.0,HXR_only
2026-06-16 20:08:42+00:00,2026-06-16 20:10:36+00:00,2026-06-16 20:11:32+00:00,170.0,,,?,0,True,322.0,,322.0,HXR_only
2026-06-16 20:32:46+00:00,2026-06-16 20:32:50+00:00,2026-06-16 20:35:09+00:00,143.0,,,?,0,True,332.0,,332.0,HXR_only
2026-06-16 20:49:04+00:00,2026-06-16 20:49:26+00:00,2026-06-16 20:49:38+00:00,34.0,,,?,0,True,235.0,,235.0,HXR_only
2026-06-16 20:53:37+00:00,2026-06-16 20:54:44+00:00,2026-06-16 20:55:06+00:00,89.0,,,?,0,True,230.0,,230.0,HXR_only
2026-06-16 21:05:15+00:00,2026-06-16 21:05:17+00:00,2026-06-16 21:05:52+00:00,37.0,,,?,0,True,281.0,,281.0,HXR_only
2026-06-16 21:30:35+00:00,2026-06-16 21:31:05+00:00,2026-06-16 21:32:18+00:00,103.0,,,?,0,True,320.0,,320.0,HXR_only
2026-06-16 21:37:06+00:00,2026-06-16 21:37:51+00:00,2026-06-16 21:37:51+00:00,45.0,,,?,0,True,268.0,,268.0,HXR_only
2026-06-16 21:49:17+00:00,2026-06-16 21:49:26+00:00,2026-06-16 21:51:14+00:00,117.0,,,?,0,True,328.0,,328.0,HXR_only
2026-06-16 21:53:17+00:00,2026-06-16 21:55:26+00:00,2026-06-16 22:05:08+00:00,711.0,,,?,0,True,315.0,,315.0,HXR_only
